id,name,description
T311,血気Ⅰ,兵刃与ダメージ+1.6%
T312,血気Ⅱ,兵刃与ダメージ+2.2%
T313,血気Ⅲ,兵刃与ダメージ+2.8%
T316,猛攻Ⅰ,自軍全体の兵刃与ダメージ+1.4%
T317,猛攻Ⅱ,自軍全体の兵刃与ダメージ+1.8%
T318,猛攻Ⅲ,自軍全体の兵刃与ダメージ+2.2%
T321,知謀Ⅰ,計略与ダメージ+2.6%
T322,知謀Ⅱ,計略与ダメージ+3.3%
T323,知謀Ⅲ,計略与ダメージ+4.0%
T326,謀攻Ⅰ,自軍全体の計略与ダメージ+2.3%
T327,謀攻Ⅱ,自軍全体の計略与ダメージ+3%
T328,謀攻Ⅲ,自軍全体の計略与ダメージ+3.7%
T331,牢固Ⅰ,被ダメージｰ1.2%
T332,牢固Ⅱ,被ダメージｰ1.6%
T333,牢固Ⅲ,被ダメージｰ2.0%
T336,守勢Ⅰ,自軍全体の被ダメージ-1%
T337,守勢Ⅱ,自軍全体の被ダメージ-1.3%
T338,守勢Ⅲ,自軍全体の被ダメージ-1.6%
T341,防護Ⅰ,兵刃被ダメージ-1.6%
T342,防護Ⅱ,兵刃被ダメージ-2.2%
T343,防護Ⅲ,兵刃被ダメージ-2.8%
T346,固守Ⅰ,自軍全体の兵刃被ダメージ-1.4%
T347,固守Ⅱ,自軍全体の兵刃被ダメージ-1.8%
T348,固守Ⅲ,自軍全体の兵刃被ダメージ-2.2%
T351,看破Ⅰ,計略被ダメージ-2.6%
T352,看破Ⅱ,計略被ダメージ-3.3%
T353,看破Ⅲ,計略被ダメージ-4.0%
T356,堅固Ⅰ,自軍全体の計略被ダメージ+2.3%
T357,堅固Ⅱ,自軍全体の計略被ダメージ+3.0%
T358,堅固Ⅲ,自軍全体の計略被ダメージ+3.7%
T401,剛猛Ⅰ,自身が通常攻撃を受ける確率小幅上昇
T402,剛猛Ⅱ,自身が通常攻撃を受ける確率中幅上昇
T403,剛猛Ⅲ,自身が通常攻撃を受ける確率大幅上昇
T406,忍耐Ⅰ,自身が通常攻撃を受ける確率が小幅に低下
T407,忍耐Ⅱ,自身が通常攻撃を受ける確率が低下
T408,忍耐Ⅲ,自身が通常攻撃を受ける確率が大幅に低下
T411,威勢Ⅰ,このターンに通常攻撃を受けていない場合、固有能動戦法の発動率+2.1%
T412,威勢Ⅱ,このターンに通常攻撃を受けていない場合、固有能動戦法の発動率+2.8%
T413,威勢Ⅲ,このターンに通常攻撃を受けていない場合、固有能動戦法の発動率+3.5%
T416,奮戦Ⅰ,このターンに通常攻撃を受けていない場合、非固有能動戦法の発動率+2%
T417,奮戦Ⅱ,このターンに通常攻撃を受けていない場合、非固有能動戦法の発動率+2.5%
T418,奮戦Ⅲ,このターンに通常攻撃を受けていない場合、非固有能動戦法の発動率+3%
T421,攻陣Ⅰ,このターンに通常攻撃を受けていない場合、固有突撃戦法の発動率+2.1%
T422,攻陣Ⅱ,このターンに通常攻撃を受けていない場合、固有突撃戦法の発動率+2.8%
T423,攻陣Ⅲ,このターンに通常攻撃を受けていない場合、固有突撃戦法の発動率+3.5%
T426,猛闘Ⅰ,このターンに通常攻撃を受けなかった場合、固有以外の突撃戦法の発動率+2%
T427,猛闘Ⅱ,このターンに通常攻撃を受けなかった場合、固有以外の突撃戦法の発動率+2.5%
T428,猛闘Ⅲ,このターンに通常攻撃を受けなかった場合、固有以外の突撃戦法の発動率+3%
T999,-,-
